Title,Price,Date,Location,Url
Нетбук asus eee pc 1005ha,1 100 грн.,17 марта 2025 г.,Каменское,https://www.olx.ua/d/obyavlenie/netbuk-asus-eee-pc-1005ha-IDXuCp8.html
"Ноутбук Asus EeeBook L210M 11.6"" N4020, 4Gb DDR4, 64Gb + 128 Gb SSD",3 999 грн.,17 марта 2025 г.,Хмельницкий,https://www.olx.ua/d/obyavlenie/noutbuk-asus-eeebook-l210m-11-6-n4020-4gb-ddr4-64gb-128-gb-ssd-IDX8Xtc.html
Моноблок Asus Eee Top/ssd накопитель,2 000 грн.,17 марта 2025 г.,"Киев, Соломенский",https://www.olx.ua/d/obyavlenie/monoblok-asus-eee-top-ssd-nakopitel-IDW2upQ.html
Acer Aspire One D270 D257 D255 722 es1-111m Asus Eee PC X101ch X553MA,124 грн.Договорная,08 марта 2025 г.,"Винница, Ленинский",https://www.olx.ua/d/obyavlenie/acer-aspire-one-d270-d257-d255-722-es1-111m-asus-eee-pc-x101ch-x553ma-IDJBLFo.html
Нетбук ASUS Eee PS 1005 HA,850 грн.,27 февраля 2025 г.,"Днепр, Центральный",https://www.olx.ua/d/obyavlenie/netbuk-asus-eee-ps-1005-ha-IDXubj8.html
Разборка нетбука Asus Eee PC 1015BX,80 грн.,14 марта 2025 г.,Полтава,https://www.olx.ua/d/obyavlenie/razborka-netbuka-asus-eee-pc-1015bx-IDSkPZC.html
корито та залишки asus eee pc1011px,100 грн.Договорная,18 февраля 2025 г.,Заречное,https://www.olx.ua/d/obyavlenie/korito-ta-zalishki-asus-eee-pc1011px-IDJgz4K.html
Запчасти asus eee pc1001px,110 грн.Договорная,18 февраля 2025 г.,Заречное,https://www.olx.ua/d/obyavlenie/zapchasti-asus-eee-pc1001px-IDINFf6.html
Нетбук ASUS Eee 10005HA,1 000 грн.Договорная,13 марта 2025 г.,"Львов, Галицкий",https://www.olx.ua/d/obyavlenie/netbuk-asus-eee-10005ha-IDXn1MZ.html
Asus Eee PC 1015BX,1 100 грн.Договорная,05 марта 2025 г.,Черновцы,https://www.olx.ua/d/obyavlenie/asus-eee-pc-1015bx-IDVRsHu.html
Зарядка до  ноутбука Asus eеe PC,375 грн.,05 марта 2025 г.,Тлумач,https://www.olx.ua/d/obyavlenie/zaryadka-do-noutbuka-asus-eee-pc-IDXjfuF.html
Планшет Asus Eee Pad Transformer TF101,430 грн.,23 февраля 2025 г.,"Киев, Печерский",https://www.olx.ua/d/obyavlenie/planshet-asus-eee-pad-transformer-tf101-IDVsNcQ.html
Кросівки New Balance 9060 оригінал | U9060EEE,6 399 грн.,17 марта 2025 г.,Заводское,https://www.olx.ua/d/obyavlenie/krosvki-new-balance-9060-orignal-u9060eee-IDVN9pd.html
HP LaserJet Pro MFP M428fdn (W1A129A),14 000 грн.,15 марта 2025 г.,"Киев, Оболонский",https://www.olx.ua/d/obyavlenie/hp-laserjet-pro-mfp-m428fdn-w1a129a-IDUx2ul.html
DDR3 8GB 1600mhz Puskill ( DDR3L SODIMM-для ноутів) DDR4 8gb 3200 mhz,249 грн.,17 марта 2025 г.,Ахтырка,https://www.olx.ua/d/obyavlenie/ddr3-8gb-1600mhz-puskill-ddr3l-sodimm-dlya-noutv-ddr4-8gb-3200-mhz-IDWYqBL.html
Нетбук Asus EeeBook X205TA,1 725 грн.Договорная,17 марта 2025 г.,"Винница, Старогородской",https://www.olx.ua/d/obyavlenie/netbuk-asus-eeebook-x205ta-IDXDJia.html
Asus Eee PC 1001PX  по запчастям разбор.,300 грн.,16 марта 2025 г.,Савин,https://www.olx.ua/d/obyavlenie/asus-eee-pc-1001px-po-zapchastyam-razbor-IDUonpU.html
Нетбук ASUS Eee PC 4G,2 500 грн.,11 марта 2025 г.,"Киев, Святошинский",https://www.olx.ua/d/obyavlenie/netbuk-asus-eee-pc-4g-IDVRzUV.html
Asus eee pc 1215T,1 300 грн.Договорная,03 марта 2025 г.,"Винница, Замостянский",https://www.olx.ua/d/obyavlenie/asus-eee-pc-1215t-IDX4gDG.html
Ноутбук ASUS Eee PC 1201NL 12.1 дюйми,950 грн.Договорная,17 февраля 2025 г.,"Киев, Подольский",https://www.olx.ua/d/obyavlenie/noutbuk-asus-eee-pc-1201nl-12-1-dyuymi-IDXbcOL.html
Asus Eee pc 1001pq,1 500 грн.,20 февраля 2025 г.,"Днепр, Амур-Нижнеднепровский",https://www.olx.ua/d/obyavlenie/asus-eee-pc-1001pq-IDVZzlK.html
Мини ноутбук EeePC,300 грн.,16 марта 2025 г.,Дорогое,https://www.olx.ua/d/obyavlenie/mini-noutbuk-eeepc-IDSrcK0.html
Asus EEE PC продам,786 грн.,06 марта 2025 г.,"Киев, Печерский",https://www.olx.ua/d/obyavlenie/asus-eee-pc-prodam-IDXxK1v.html
Asus eee pc white,800 грн.Договорная,23 февраля 2025 г.,Старые Кодаки,https://www.olx.ua/d/obyavlenie/asus-eee-pc-white-IDWaKNL.html
Нетбук/ноутбук ASUS Eee PC 1001PX,850 грн.,15 марта 2025 г.,"Киев, Святошинский",https://www.olx.ua/d/obyavlenie/netbuk-noutbuk-asus-eee-pc-1001px-IDXnZQE.html
"Піддони,Корита,Нижні частини ноутбуків,Розбірка ноутбуків.",199 грн.,16 марта 2025 г.,Заболотов,https://www.olx.ua/d/obyavlenie/pddoni-korita-nizhn-chastini-noutbukv-rozbrka-noutbukv-IDX4rvJ.html
"Зарядка, зарядное устройство, блок питания, для ноутбука  Asus Lenovo.",250 грн.,16 марта 2025 г.,"Кривой Рог, Центрально-Городской",https://www.olx.ua/d/obyavlenie/zaryadka-zaryadnoe-ustroystvo-blok-pitaniya-dlya-noutbuka-asus-lenovo-IDU4uX2.html
Комп'ютери для Офісу та Дому Недорого Dell Fujitsu HP Lenovo ПК1155/50,2 499 грн.,13 марта 2025 г.,"Киев, Голосеевский",https://www.olx.ua/d/obyavlenie/kompyuteri-dlya-ofsu-ta-domu-nedorogo-dell-fujitsu-hp-lenovo-pk1155-50-IDSVF2Q.html
Asus Eee pc 1001 HA,325 грн.Договорная,19 февраля 2025 г.,"Львов, Лычаковский",https://www.olx.ua/d/obyavlenie/asus-eee-pc-1001-ha-IDXcukw.html
Безпровідна клавіатура для ноутбука Asus,215 грн.,11 марта 2025 г.,"Кривой Рог, Терновский",https://www.olx.ua/d/obyavlenie/bezprovdna-klavatura-dlya-noutbuka-asus-IDX7BdE.html
Продам Asus EEE PC 4G на запчасти или для запчастей,450 грн.,04 марта 2025 г.,"Днепр, Шевченковский",https://www.olx.ua/d/obyavlenie/prodam-asus-eee-pc-4g-na-zapchasti-ili-dlya-zapchastey-IDVR1tI.html
Нетбук ASUS Eee PC 1201K,777 грн.,01 марта 2025 г.,Кегичевка,https://www.olx.ua/d/obyavlenie/netbuk-asus-eee-pc-1201k-IDV666o.html
Планшет Asus Eee Pad Transformer TF101 16GB,900 грн.,14 марта 2025 г.,Сумы,https://www.olx.ua/d/obyavlenie/planshet-asus-eee-pad-transformer-tf101-16gb-IDXBWX2.html
Asus Eee pc 1215B,500 грн.Договорная,16 марта 2025 г.,Херсон,https://www.olx.ua/d/obyavlenie/asus-eee-pc-1215b-IDSH1fH.html
Нетбук Eee PC Asus Hybrid Storage,1 600 грн.,20 февраля 2025 г.,"Одесса, Киевский",https://www.olx.ua/d/obyavlenie/netbuk-eee-pc-asus-hybrid-storage-IDU2Esb.html
Ноутбук Asus Eee PC 1005HA,550 грн.,17 марта 2025 г.,"Киев, Святошинский",https://www.olx.ua/d/obyavlenie/noutbuk-asus-eee-pc-1005ha-IDXoDrv.html
Кросівки New Balance 9060 оригінал | U9060EEE,6 399 грн.,17 марта 2025 г.,Заводское,https://www.olx.ua/d/obyavlenie/krosvki-new-balance-9060-orignal-u9060eee-IDVN9pd.html
Планшет Asus Eee Pad Transformer TF300T 32GB Doc з док станцією,1 350 грн.,09 марта 2025 г.,Полтава,https://www.olx.ua/d/obyavlenie/planshet-asus-eee-pad-transformer-tf300t-32gb-doc-z-dok-stantsyu-IDV95i8.html
"Топкейси, Середні частини ноутбуків, Розбірка ноутбуків",99 грн.,17 марта 2025 г.,Заболотов,https://www.olx.ua/d/obyavlenie/topkeysi-seredn-chastini-noutbukv-rozbrka-noutbukv-IDX79aC.html
Зволожувач повітря Xiaomi SmartMi Zhimi Air Humidifier,3 400 грн.,16 марта 2025 г.,Тернополь,https://www.olx.ua/d/obyavlenie/zvolozhuvach-povtrya-xiaomi-smartmi-zhimi-air-humidifier-IDUJgSU.html
"Комп'ютери з Європи, ОПТ/Роздріб! HP, DELL, Lenovo, Fujitsu, ACER | ПК",1 999 грн.Договорная,17 марта 2025 г.,"Киев, Голосеевский",https://www.olx.ua/d/obyavlenie/kompyuteri-z-vropi-opt-rozdrb-hp-dell-lenovo-fujitsu-acer-pk-IDTOUh7.html
нутбук asus Eee PC 1008P,800 грн.,16 марта 2025 г.,"Одесса, Приморский",https://www.olx.ua/d/obyavlenie/nutbuk-asus-eee-pc-1008p-IDUwaNH.html
Asus Eee Pad Slider SL101 32Gb,750 грн.,07 марта 2025 г.,"Киев, Соломенский",https://www.olx.ua/d/obyavlenie/asus-eee-pad-slider-sl101-32gb-IDX65Pp.html
Асус Eee PC R 101,800 грн.,25 февраля 2025 г.,"Львов, Галицкий",https://www.olx.ua/d/obyavlenie/asus-eee-pc-r-101-IDSoueP.html
Ноутбук ASUS EeeBook X205T,1 150 грн.,02 марта 2025 г.,"Одесса, Киевский",https://www.olx.ua/d/obyavlenie/noutbuk-asus-eeebook-x205t-IDVRlX3.html
Продам ноутбук нетбук ASUS Eee PC X101HC,1 000 грн.,23 февраля 2025 г.,"Киев, Деснянский",https://www.olx.ua/d/obyavlenie/prodam-noutbuk-netbuk-asus-eee-pc-x101hc-IDXsr1U.html
"Комплектующие для  Acer Aspire 5553G/5553,  4920G / Asus EeePC R101X",100 грн.Договорная,15 марта 2025 г.,"Киев, Подольский",https://www.olx.ua/d/obyavlenie/komplektuyuschie-dlya-acer-aspire-5553g-5553-4920g-asus-eeepc-r101x-IDVsxbi.html
"Зарядка, зарядное устройство, блок питания, для ноутбука  Asus Lenovo.",250 грн.,16 марта 2025 г.,"Кривой Рог, Центрально-Городской",https://www.olx.ua/d/obyavlenie/zaryadka-zaryadnoe-ustroystvo-blok-pitaniya-dlya-noutbuka-asus-lenovo-IDU4uX2.html
"Нетбук Asus Eee PC 1005PXD 10.1 ""2 RAM 320 HDD""",1 150 грн.,15 марта 2025 г.,"Днепр, Соборный",https://www.olx.ua/d/obyavlenie/netbuk-asus-eee-pc-1005pxd-10-1-2-ram-320-hdd-IDXnqeh.html
Asus Eee Pc X101CH,420 грн.,16 февраля 2025 г.,Троицкое,https://www.olx.ua/d/obyavlenie/asus-eee-pc-x101ch-IDXoYXr.html
Нетбук Asus PC Eee 1225b,1 160 грн.,15 марта 2025 г.,Хмельная,https://www.olx.ua/d/obyavlenie/netbuk-asus-pc-eee-1225b-IDX9MnQ.html
